PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
Ibn al-Athir,al-Kamil fi'l-Ta'rikh',wa,"The Chronicle of Ibn al-Athir for the Crusading Period from al-Kamil fi'l-Ta'rikh, London 2008:",-,,"Richards, D. S.",112702543,Ibn al-Athir ,page 288-289,Ibn Khallikan,Ibn Khallikan's Biographical Dictionary,https://archive.org/details/ibnkhallikansbi00slangoog/page/288/mode/2up
Italos trial,,mj,"“Le proces officiel de Jean l’Italien: les actes et leurs sous-entendus,” Travaux et Memoires 9 (1985), 133-69",https://archive.org/details/tm-20.2-2016-melanges-catherine-jolivet-levy/TM%2009%20%281985%29/page/n145/mode/2up,,"Gouillard, Jean",88739139,,,,,
Iveron 25,Testament of Loukas of Galeagra,tp,"Actes d’Iviron I, Actes de l’Athos XIV, Paris 1985, 237-239",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2014-Actes%20d%27Iviron-tome%201%2C%20eds.%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20H.%20Metreveli%2C%20Paris%201985,1.237-239,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Métrévéli, Hélène",71393851; 14774616; 93206983; 59302266,Loukas 102; Iakobos 101,factoid 219505,,,
Iveron 26,Act of exchange,tp,"Actes d’Iviron I, Actes de l’Athos XIV, Paris 1985, 241-243",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2014-Actes%20d%27Iviron-tome%201%2C%20eds.%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20H.%20Metreveli%2C%20Paris%201985/mode/2up,1.241-243,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Métrévéli, Hélène",71393851; 14774616; 93206983; 59302266,Maria 107; Anna 103; Agathe 101; Niketas 121,factoid 217609,,,
Iveron 27,Act of delimitation,tp,"Actes d’Iviron I, Actes de l’Athos XIV, Paris 1985, 245-247",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2014-Actes%20d%27Iviron-tome%201%2C%20eds.%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20H.%20Metreveli%2C%20Paris%201986,1.245-247,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Métrévéli, Hélène",71393851; 14774616; 93206983; 59302266,Theodosios 106,factoid 217644,,,
Iveron 28,Act of Markos,tp,"Actes d’Iviron I, Actes de l’Athos XIV, Paris 1985, 249-251",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2014-Actes%20d%27Iviron-tome%201%2C%20eds.%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20H.%20Metreveli%2C%20Paris%201985/mode/2up,1.249-251,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Métrévéli, Hélène",71393851; 14774616; 93206983; 59302266,Markos 101; Basileios 121,factoid 217661,,,
Iveron 29,Act of Andronikos anagrapheus,tp,"Actes d’Iviron I, Actes de l’Athos XIV, Paris 1985, 256-261",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2014-Actes%20d%27Iviron-tome%201%2C%20eds.%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20H.%20Metreveli%2C%20Paris%201987,1.256-261,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Métrévéli, Hélène",71393851; 14774616; 93206983; 59302266,Andronikos 104,factoid 217687,,,
Iveron 30,Extract of Gregorios Chalkoutzes,tp,"Actes d’Iviron I, Actes de l’Athos XIV, Paris 1985, 268-270",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2014-Actes%20d%27Iviron-tome%201%2C%20eds.%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20H.%20Metreveli%2C%20Paris%201985/mode/2up,1.268-270,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Métrévéli, Hélène",71393851; 14774616; 93206983; 59302266,Gregorios 117,factoid 217689,,,
Iveron 31,Act of Leon Thylakas,tp,"Actes d’Iviron II, Actes de l’Athos XVI, Paris 1990, 77-80",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2016-Actes%20d%27Iviron-tome%202%2C%20eds.%20%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20V.%20Kravari%2C%20H.%20Metreveli%2C%20Paris%201990,"2.77.1,2.77.13-15,2.78.15-26,2.79.40,2.79.45,2.79.50,2.80.51-61","Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Kravari, Vassiliki; Métrévéli, Hélène;",71393851; 14774616; 93206983; 31154757; 59302266,Leon 119; Ioannes 160,factoid 217797,,,
Iveron 31a,Decree of Theodora,tp,"Actes d’Iviron II, Actes de l’Athos XVI, Paris 1990, 77",https://archive.org/details/Archives-De-Athos/Archives%20de%20l%27Athos%2016-Actes%20d%27Iviron-tome%202%2C%20eds.%20%20J.%20Lefort%2C%20N.%20Oikonomid%E5%A6%94%2C%20D.%20Papachryssanthou%2C%20V.%20Kravari%2C%20H.%20Metreveli%2C%20Paris%201990,2.77.2-13,"Lefort, Jacques; Oikonomidès, Nicolas; Papachryssanthou, Denise; Kravari, Vassiliki; Métrévéli, Hélène;",71393851; 14774616; 93206983; 31154757; 59302266,Theodora 1; Ioannes 160,factoid 217735,,,
