PBW Source ID,Source canonical name,PBW editor,Source edition used,Edition URL,Page range,Editor name,Editor VIAF,Author(ity),Evidence of authorship,External authorship authority,External authorship source,External authorship URL
Psellos Sathas 59,Sathas 59,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380159,,,
Psellos Sathas 60,Sathas 60,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380160,,,
Psellos Sathas 61,Sathas 61,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380161,,,
Psellos Sathas 62,Sathas 62,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380162,,,
Psellos Sathas 63,Sathas 63,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380163,,,
Psellos Sathas 64,Sathas 64,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380164,,,
Psellos Sathas 65,Sathas 65,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380165,,,
Psellos Sathas 66,Sathas 66,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380166,,,
Psellos Sathas 67,Sathas 67,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380167,,,
Psellos Sathas 68,Sathas 68,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380168,,,
Psellos Sathas 69,Sathas 69,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380169,,,
Psellos Sathas 70,Sathas 70,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380170,,,
Psellos Sathas 71,Sathas 71,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380171,,,
Psellos Sathas 72,Sathas 72,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380172,,,
Psellos Sathas 73,Sathas 73,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380174,,,
Psellos Sathas 74,Sathas 74,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380175,,,
Psellos Sathas 75,Sathas 75,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380176,,,
Psellos Sathas 76,Sathas 76,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380177,,,
Psellos Sathas 77,Sathas 77,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380178,,,
Psellos Sathas 78,Sathas 78,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380179,,,
Psellos Sathas 79,Sathas 79,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380180,,,
Psellos Sathas 80,Sathas 80,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380181,,,
Psellos Sathas 81,Sathas 81,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380182,,,
Psellos Sathas 82,Sathas 82,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380183,,,
Psellos Sathas 83,Sathas 83,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380184,,,
Psellos Sathas 84,Sathas 84,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380185,,,
Psellos Sathas 85,Sathas 85,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380186,,,
Psellos Sathas 86,Sathas 86,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380187,,,
Psellos Sathas 87,Sathas 87,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380188,,,
Psellos Sathas 88,Sathas 88,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380189,,,
Psellos Sathas 89,Sathas 89,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380190,,,
Psellos Sathas 91,Sathas 91,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380191,,,
Psellos Sathas 92,Sathas 92,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380192,,,
Psellos Sathas 93,Sathas 93,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380193,,,
Psellos Sathas 94,Sathas 94,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380194,,,
Psellos Sathas 95,Sathas 95,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380195,,,
Psellos Sathas 96,Sathas 96,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380196,,,
Psellos Sathas 97,Sathas 97,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380197,,,
Psellos Sathas 98,Sathas 98,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380198,,,
Psellos Sathas 99,Sathas 99,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380199,,,
Psellos Sathas 100,Sathas 100,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380200,,,
Psellos Sathas 101,Sathas 101,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380201,,,
Psellos Sathas 102,Sathas 102,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380202,,,
Psellos Sathas 103,Sathas 103,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380203,,,
Psellos Sathas 104,Sathas 104,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380204,,,
Psellos Sathas 105,Sathas 105,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380205,,,
Psellos Sathas 106,Sathas 106,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380206,,,
Psellos Sathas 107,Sathas 107,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380207,,,
Psellos Sathas 108,Sathas 108,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380208,,,
Psellos Sathas 109,Sathas 109,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380210,,,
Psellos Sathas 110,Sathas 110,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380211,,,
Psellos Sathas 111,Sathas 111,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380212,,,
Psellos Sathas 112,Sathas 112,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380213,,,
Psellos Sathas 113,Sathas 113,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380214,,,
Psellos Sathas 114,Sathas 114,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380215,,,
Psellos Sathas 115,Sathas 115,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380216,,,
Psellos Sathas 116,Sathas 116,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380217,,,
Psellos Sathas 117,Sathas 117,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380218,,,
Psellos Sathas 118,Sathas 118,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380219,,,
Psellos Sathas 119,Sathas 119,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380220,,,
Psellos Sathas 120,Sathas 120,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380221,,,
Psellos Sathas 121,Sathas 121,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380222,,,
Psellos Sathas 122,Sathas 122,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380223,,,
Psellos Sathas 123,Sathas 123,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380224,,,
Psellos Sathas 124,Sathas 124,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380225,,,
Psellos Sathas 125,Sathas 125,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380226,,,
Psellos Sathas 126,Sathas 126,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380228,,,
Psellos Sathas 127,Sathas 127,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380229,,,
Psellos Sathas 128,Sathas 128,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380230,,,
Psellos Sathas 129,Sathas 129,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380231,,,
Psellos Sathas 131,Sathas 131,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380232,,,
Psellos Sathas 132,Sathas 132,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380233,,,
Psellos Sathas 133,Sathas 133,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380234,,,
Psellos Sathas 134,Sathas 134,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380235,,,
Psellos Sathas 136,Sathas 136,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380236,,,
Psellos Sathas 137,Sathas 137,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380237,,,
Psellos Sathas 138,Sathas 138,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380238,,,
Psellos Sathas 139,Sathas 139,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380239,,,
Psellos Sathas 140,Sathas 140,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380240,,,
Psellos Sathas 141,Sathas 141,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380241,,,
Psellos Sathas 142,Sathas 142,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380242,,,
Psellos Sathas 143,Sathas 143,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380243,,,
Psellos Sathas 145,Sathas 145,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380244,,,
Psellos Sathas 146,Sathas 146,mj,"Μεσαιωνικὴ Βιβλιοθήκη 5. Μιχαὴλ Ψελλοῦ ἱστορικοὶ λόγοι, ἐπιστολαὶ καὶ ἄλλα ἀνέκδοτα, Paris (1876) 219-523",,,"Sáthas, Konstantínos N.",51823381,Michael 61,factoid 380245,,,
