passage_uri,real_sourcekey
https://r11.eu/rdf/resource/afc91e66-6033-44ec-b1b0-15dbdf0f86d4,"Theophylaktos of Ohrid, Letters 127"
https://r11.eu/rdf/resource/d49b08c7-acc4-4e5d-a102-a01cd3cc7181,"Theophylaktos of Ohrid, Letters 127"
https://r11.eu/rdf/resource/cac67e2f-4f55-4102-a245-333a0df6c5aa,"Theophylaktos of Ohrid, Letters 27"
https://r11.eu/rdf/resource/4d04650f-ded1-4260-8549-47098683aaec,"Theophylaktos of Ohrid, Letters 49"
https://r11.eu/rdf/resource/b9633223-5903-4c8c-bc94-81c6c2fefb20,"Theophylaktos of Ohrid, Letters 53"
https://r11.eu/rdf/resource/ef724dd0-0687-4240-8828-a5d3e761e706,"Theophylaktos of Ohrid, Letters 53"
https://r11.eu/rdf/resource/7d2a18de-b11e-41ba-94bb-b02f61d69306,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/4971fdd0-88c5-4fbc-9594-a54432c1f8f3,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/563e7773-0e7d-4de9-96d0-880cf0e32cdf,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/26b1e272-64c0-4f65-b6a8-dcf8bee2e22e,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/f5ebf268-276d-4d04-8757-c72e751d4c56,"Theophylaktos of Ohrid, Letters 66"
https://r11.eu/rdf/resource/c62403f8-4690-40b8-9b2e-66f26f6a76db,Lavra 52
https://r11.eu/rdf/resource/40ebbaba-7b97-4beb-aaf6-1963b1b675b3,Lavra 52
https://r11.eu/rdf/resource/482e7298-ae84-4c5a-ab7f-7905e53916a4,Lavra 52
https://r11.eu/rdf/resource/1134dc89-a051-45fd-9948-b68aa0a7e047,Lavra 52
https://r11.eu/rdf/resource/58f5e2b7-56b1-4a26-a2cc-2f00bf71f045,Lavra 52
https://r11.eu/rdf/resource/d50dbd95-3120-4ac3-bbda-e7af216ff7bd,Lavra 52
https://r11.eu/rdf/resource/2f633107-5900-4b4c-8f06-6e8ae9190201,Esphigmenou 5
https://r11.eu/rdf/resource/c2102f7e-38ad-4968-ad21-2779fd2e005e,Esphigmenou 5
https://r11.eu/rdf/resource/a35de6b7-d0d8-4986-85aa-442b0db90d16,Esphigmenou 5
